                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.7331,                  1.331,                 1.4003,                 0.7415,                0.66695,                0.73838,                 0.3548,                 1.7913,                 1.1831,                 1.4328,               0.005347,               0.005347,               0.005347
                     49,                  1.736,                 1.3384,                    1.4,                0.75819,                0.65496,                0.73571,                0.35239,                 1.8095,                 1.1701,                 1.4319,               0.005248,               0.005248,               0.005248
                     50,                 1.7392,                 1.3229,                 1.4008,                0.75933,                0.66824,                0.74195,                 0.3613,                 1.7718,                 1.1607,                 1.4326,               0.005149,               0.005149,               0.005149
                     51,                 1.7323,                 1.3321,                 1.3993,                0.76148,                0.66233,                  0.742,                0.36284,                  1.783,                 1.1493,                 1.4324,                0.00505,                0.00505,                0.00505
                     52,                 1.7389,                 1.3242,                 1.3922,                0.75162,                0.66682,                0.74133,                0.36097,                  1.779,                 1.1542,                 1.4273,               0.004951,               0.004951,               0.004951
                     53,                 1.7196,                 1.2957,                 1.3856,                0.76062,                0.67424,                0.75571,                0.36867,                 1.7764,                 1.1229,                 1.4203,               0.004852,               0.004852,               0.004852
                     54,                 1.7187,                 1.2985,                 1.3901,                0.73995,                0.68242,                0.74422,                0.36723,                 1.7722,                 1.1283,                 1.4185,               0.004753,               0.004753,               0.004753
                     55,                 1.7098,                  1.281,                 1.3831,                0.76248,                0.68526,                0.75985,                0.37373,                 1.7792,                 1.1169,                 1.4209,               0.004654,               0.004654,               0.004654
                     56,                 1.6963,                 1.2704,                 1.3682,                0.75725,                0.68698,                0.75614,                0.37131,                 1.7858,                 1.1096,                 1.4186,               0.004555,               0.004555,               0.004555
                     57,                 1.7019,                 1.2535,                 1.3637,                0.77523,                0.69329,                0.76283,                0.37602,                 1.7761,                 1.0936,                 1.4084,               0.004456,               0.004456,               0.004456
                     58,                 1.7058,                 1.2613,                 1.3673,                0.77942,                0.67533,                0.75872,                0.37834,                  1.769,                 1.0932,                 1.4168,               0.004357,               0.004357,               0.004357
                     59,                 1.6776,                 1.2344,                 1.3569,                 0.7767,                0.68951,                0.76172,                0.37966,                 1.7504,                 1.0783,                 1.3994,               0.004258,               0.004258,               0.004258
                     60,                 1.6881,                 1.2408,                  1.355,                0.76538,                 0.6862,                0.76282,                0.37988,                 1.7491,                 1.0767,                    1.4,               0.004159,               0.004159,               0.004159
                     61,                 1.6628,                 1.2267,                 1.3484,                0.78621,                 0.6914,                0.76213,                 0.3812,                 1.7545,                 1.0815,                 1.4032,                0.00406,                0.00406,                0.00406
                     62,                 1.6727,                 1.2146,                 1.3527,                0.76817,                0.69376,                0.77119,                0.39011,                 1.7372,                 1.0693,                 1.3906,               0.003961,               0.003961,               0.003961
                     63,                  1.668,                 1.2113,                 1.3443,                0.76754,                 0.6966,                0.76605,                0.38628,                 1.7593,                 1.0632,                 1.4024,               0.003862,               0.003862,               0.003862
                     64,                 1.6502,                 1.1865,                 1.3404,                0.78879,                0.70775,                0.77705,                0.39401,                 1.7465,                 1.0525,                 1.3921,               0.003763,               0.003763,               0.003763
                     65,                 1.6585,                  1.188,                  1.338,                0.79843,                0.70652,                0.78394,                0.39178,                 1.7451,                 1.0482,                 1.3912,               0.003664,               0.003664,               0.003664
                     66,                 1.6472,                 1.1713,                 1.3304,                0.79608,                0.69707,                0.77656,                0.39268,                 1.7377,                 1.0444,                 1.3868,               0.003565,               0.003565,               0.003565
                     67,                 1.6385,                 1.1745,                 1.3184,                0.79853,                0.70803,                0.78558,                0.39417,                 1.7408,                 1.0346,                 1.3791,               0.003466,               0.003466,               0.003466
                     68,                 1.6459,                 1.1699,                 1.3289,                 0.8053,                0.70563,                0.78482,                0.39571,                 1.7542,                  1.025,                 1.3894,               0.003367,               0.003367,               0.003367
                     69,                 1.6318,                 1.1615,                 1.3218,                0.80882,                0.69234,                0.78239,                0.39521,                  1.744,                 1.0326,                 1.3899,               0.003268,               0.003268,               0.003268
                     70,                 1.6203,                  1.152,                 1.3129,                0.81384,                0.70247,                 0.7849,                0.39902,                 1.7432,                 1.0277,                 1.3824,               0.003169,               0.003169,               0.003169
                     71,                 1.6174,                 1.1366,                 1.3057,                0.80811,                0.70274,                0.78551,                 0.3992,                 1.7469,                 1.0118,                 1.3856,                0.00307,                0.00307,                0.00307
                     72,                 1.6103,                 1.1385,                 1.3093,                0.80291,                 0.7085,                0.78479,                0.40209,                 1.7341,                 1.0069,                 1.3783,               0.002971,               0.002971,               0.002971
                     73,                 1.6199,                 1.1185,                 1.3078,                0.81681,                 0.7103,                0.79124,                0.40199,                 1.7305,                 1.0019,                 1.3761,               0.002872,               0.002872,               0.002872
                     74,                 1.5982,                 1.1024,                 1.2976,                0.82298,                0.70745,                0.79155,                0.40502,                 1.7317,                0.99534,                 1.3746,               0.002773,               0.002773,               0.002773
                     75,                 1.5916,                 1.1022,                 1.2982,                  0.791,                0.72259,                0.79035,                0.40435,                 1.7214,                 0.9978,                 1.3694,               0.002674,               0.002674,               0.002674
                     76,                 1.5888,                 1.0947,                 1.2879,                 0.8027,                0.72117,                0.78807,                0.40321,                 1.7212,                0.99674,                 1.3698,               0.002575,               0.002575,               0.002575
                     77,                 1.5771,                 1.0835,                 1.2847,                0.82482,                0.70983,                0.79346,                0.40649,                 1.7262,                0.98582,                 1.3723,               0.002476,               0.002476,               0.002476
                     78,                 1.5834,                  1.074,                 1.2779,                0.82951,                0.71645,                0.79985,                0.40824,                 1.7242,                0.98027,                 1.3668,               0.002377,               0.002377,               0.002377
                     79,                 1.5621,                 1.0595,                  1.275,                0.82197,                 0.7157,                0.79837,                 0.4094,                 1.7298,                0.97441,                 1.3668,               0.002278,               0.002278,               0.002278
                     80,                 1.5606,                 1.0485,                 1.2741,                0.81562,                0.71219,                0.79381,                0.40804,                 1.7287,                0.97027,                 1.3722,               0.002179,               0.002179,               0.002179
                     81,                 1.5644,                 1.0576,                 1.2766,                0.81622,                0.71975,                 0.7977,                0.41177,                 1.7217,                0.96774,                 1.3695,                0.00208,                0.00208,                0.00208
                     82,                 1.5619,                 1.0445,                 1.2713,                0.82179,                0.73204,                0.80214,                 0.4169,                 1.7175,                0.95723,                 1.3674,               0.001981,               0.001981,               0.001981
                     83,                 1.5433,                  1.039,                 1.2602,                0.81729,                0.73346,                0.80005,                0.41643,                 1.7122,                0.95425,                 1.3628,               0.001882,               0.001882,               0.001882
                     84,                 1.5335,                 1.0313,                 1.2584,                0.81689,                 0.7259,                0.79797,                0.41444,                 1.7196,                0.95705,                 1.3693,               0.001783,               0.001783,               0.001783
                     85,                 1.5417,                 1.0254,                 1.2623,                0.84395,                0.72353,                0.80643,                0.41778,                 1.7208,                0.95581,                 1.3692,               0.001684,               0.001684,               0.001684
                     86,                 1.5227,                 1.0116,                 1.2472,                0.84234,                0.72212,                0.80962,                0.41885,                 1.7216,                0.95043,                 1.3633,               0.001585,               0.001585,               0.001585
                     87,                 1.5216,                 1.0072,                 1.2502,                0.84699,                0.73157,                  0.813,                0.42108,                 1.7159,                0.94772,                 1.3596,               0.001486,               0.001486,               0.001486
                     88,                  1.507,                0.99803,                 1.2388,                0.85223,                0.73319,                0.81437,                0.42189,                 1.7189,                0.94152,                 1.3608,               0.001387,               0.001387,               0.001387
                     89,                 1.5109,                0.98919,                 1.2446,                0.85296,                0.73473,                0.81498,                0.42238,                 1.7154,                0.94015,                 1.3591,               0.001288,               0.001288,               0.001288
                     90,                 1.5125,                0.99261,                 1.2444,                0.84248,                0.73819,                0.81446,                0.42337,                 1.7177,                0.93067,                 1.3616,               0.001189,               0.001189,               0.001189
                     91,                 1.4802,                0.84315,                  1.234,                0.85024,                0.73346,                0.81572,                 0.4236,                 1.7195,                0.92732,                 1.3609,                0.00109,                0.00109,                0.00109
                     92,                 1.4561,                0.82376,                 1.2236,                0.85397,                 0.7344,                0.81881,                0.42334,                   1.72,                0.92629,                 1.3621,               0.000991,               0.000991,               0.000991
                     93,                 1.4479,                0.81283,                 1.2199,                0.85706,                0.73393,                0.81951,                0.42287,                  1.719,                0.92263,                  1.362,               0.000892,               0.000892,               0.000892
                     94,                 1.4372,                0.80761,                 1.2114,                0.85201,                0.72968,                0.81416,                0.42489,                 1.7189,                0.91868,                 1.3634,               0.000793,               0.000793,               0.000793
                     95,                 1.4264,                0.79573,                 1.2117,                0.85822,                 0.7323,                0.81848,                0.42726,                 1.7191,                0.91321,                 1.3669,               0.000694,               0.000694,               0.000694
                     96,                 1.4165,                 0.7853,                 1.2033,                0.86122,                0.73346,                0.81822,                0.42834,                 1.7185,                0.90902,                 1.3681,               0.000595,               0.000595,               0.000595
                     97,                 1.4089,                0.78194,                 1.1999,                0.87094,                 0.7367,                0.82177,                 0.4288,                 1.7217,                0.90485,                  1.369,               0.000496,               0.000496,               0.000496
                     98,                 1.3912,                0.77068,                 1.1914,                0.86714,                0.73717,                0.82033,                0.42872,                 1.7214,                0.90301,                 1.3699,               0.000397,               0.000397,               0.000397
                     99,                 1.3989,                0.76624,                 1.1916,                0.86536,                0.73811,                0.81942,                0.42796,                 1.7222,                0.90054,                 1.3701,               0.000298,               0.000298,               0.000298
                    100,                 1.3871,                0.77097,                 1.1913,                0.86209,                 0.7415,                 0.8209,                0.42652,                 1.7215,                0.89822,                 1.3683,               0.000199,               0.000199,               0.000199
